"id","body","status","idate","freq","wfu"
"10/00","amnesty international usa's r e f u g e e  a c t i o n ua office _ pobox 1270 nederland co 80466 _ ph 303 258 1170 _ fax 303 258 7881 _ e-mail sharriso@aiusa.org _ http://.amnesty-usa.org/urgact/ new postage rates! see below. january 22, 2001 further information on rodi alvarado pena action #nsa 6/99, may 25, 1999, re-issued august 17, 1999 further information on the case of jimmy johnson #nsa 10/00, october 17, 2000 amnesty international's refugee office has learned the following concerning the cases named above: ","stop action","",7,TRUE
"10/04","amnesty international usa's refugee action 600 pennsylvania avenue, se, ste. 300, washington, dc 20003 t. 202.544.0200 x497 f. 202.544.7852 e-mail. refugee@aiusa.org october 21, 2004 further information on refugee action # nsa 10/04 issued september 22, 2004.","update","",7,TRUE
"10/05","medical action uanetwork office pobox 1270 nederland co 80466 t. 303.258.1170 f. 303.258.7881 e-mail. uan@aiusa.org www.amnestyusa.org/urgent/","","",2,TRUE
"10/06","urgent  action uanetwork office aiusa 600 pennsylvania ave se, washington dc 20003 t. 202.544.0200 f. 202.675.8566 e. uan@aiusa.org amnestyusa.org/urgent/ ","update","",3,TRUE
"10/99","amnesty international usa's m e d i c a l    a c t i o n f o l l o w  u p ua office _ pobox 1270 nederland co 80466 _ ph 303 258 1170 _ fax 303 258 7881 _ e-mail sharriso@aiusa.org _ http://www.amnesty-usa.org/urgact/ ","","",8,TRUE
"100/06","urgent  action uanetwork office aiusa 600 pennsylvania ave se 5th fl, washington dc 20003 t. 202.544.0200 f. 202.675.8566 e-mail. uan@aiusa.org www.amnestyusa.org/urgent/ 27 june 2006 further information on 100/06 (25 april 2006) forcible return/torture/death penalty new concern: incommunicado detention kazakstan/china         yusuf kadir tohti (also known as erdagan) (m), aged 35 abdukadir sidik (m), aged 30 yusuf kadir tohti and abdukadir sidik, who are originally from china's xinjiang uighur autonomous region (xuar), are being held in incommunicado detention in china after being forcibly returned from kazakstan on 10 may. they are at risk of serious human rights violations, including torture or other ill-treatment, and possibly the death penalty if their ""crimes"" are deemed to be ""serious."" the kazakstani authorities deported the two men from almaty, kazakstan to urumqi, china following 'a decision by the specialized administrative court of almaty for violation of rules of stay in kazakstan'. yusuf kadir tohti reportedly fled from china to kazakstan in 1996 and was reportedly arrested on 8 march 2006 by the kazakstani authorities. the chinese authorities reportedly accused him of separatism and asked for his extradition. abdukadir sidik fled the xuar in 1999 after he publicly protested against the chinese authorities policy on minorities, particularly their enforcement of the family planning policy which limited the number of children that uighurs could have. he was charged by the kazakstani authorities with illegally crossing the border and sentenced to six months' imprisonment. background information over recent years, amnesty international has monitored growing numbers of forced returns of uighurs to china from several of its neighboring countries, including those of central asia, such as kazakstan. in some recent cases, returnees are reported to have been subjected to serious human rights violations, including torture, unfair trials and even execution. the chinese authorities have been mounting a crackdown on the three evil forces of separatist, terrorist and religious extremists in the xuar. it has resulted in serious and widespread human rights violations directed against the regions uighur community, prompting many of them to flee the country. the death penalty is used extensively and often arbitrarily in china. based on public reports available, amnesty international estimated that at least 1,770 people were executed and 3,900 sentenced to death in 2005. the true figures, which are classified as a ""state secret"", are believed to be much higher. a chinese legal expert was recently quoted as stating the true figure for executions to be approximately 8,000 per year. over recent years, amnesty international has documented several cases of uighurs being sentenced to death and executed in the xuar for alleged ""separatist"" or ""terrorist"" activities. recommended action: please send appeals to arrive as quickly as possible to the chinese authorities: - expressing concern for the safety of yusuf kadir tohti and abdukadir sidik who are being held in incommunicado detention and requesting information about their whereabouts; - calling on the chinese authorities to guarantee the safety of yusuf kadir tohti and abdukadir sidik and to give them access to lawyers of their choice and to members of their family; - calling for guarantees that the men will be treated humanely in detention, and will not be tortured or ill-treated, sentenced to death or executed; - urging that they be released immediately unless charged with an internationally recognizable criminal offence. appeals to: prime minister of the people's republic of china: wen jiabao guojia zongli the state council 9 xihuangcheng genbeijie beijingshi 100032 people's republic of china","update","",2,TRUE
"100/12","further information on ua 100/12 issue date: 1 may 2012","update","2012-05-01",2,TRUE
"100/98","amnesty international usa's u r g e n t    a c t i o n ua office _ pobox 1270 nederland co 80466 _ ph 303 258 1170 _ fax 303 258 7881 _ e-mail sharriso@aiusa.org _ http://www.amnesty-usa.org/urgact/ 29 october 1999 further information on extra 100/98 issued 15 december 1998 and re-issued 18 january 1999 death penalty / legal concern usa (north carolina)    david junior brown (also know as dawud abdullah mohammed) david junior brown, black, has received a new execution date of 19 november 1999. he was sentenced to death in 1980 for the murder of diane chalflinch, white, and her nine-year-old daughter. the new execution date follows the denial of browns last appeal in state court. brown has now fully completed the appeal process. under the terms of the anti-terrorism and effective death penalty act, signed into law by president clinton in 1996, the federal courts will now only give browns case further examination if his lawyers can convince a three-judge panel there is clear and convincing evidence of his actual innocence - an almost impossible standard to meet. the appeal courts have continued to fail to address many of the deeply disturbing issues in browns case. in the rejection of the last appeal, the north carolina supreme court cited the overwhelming evidence against brown, including: the discovery of his ring on the victims body, his bloody palm print on the wall over the girl's body, and the bloody footprints from the victims apartment to his (they lived in the same building). amnesty international believes the evidence against brown is far from conclusive. the ring did belong to brown and is undoubtedly a powerful piece of evidence against him. he claims he lost the ring after taking it off at a party where he was playing records the night before the crime. however, other evidence is much weaker than it first appears. the testimony at trial was consistent with the palm print having been placed on the wall weeks or months before the murders. apparently, it was not possible to tell whether the print was made by a bloody hand or the blood had splashed over it. brown had been in the victims apartment prior to the crime helping her move furniture. no other finger prints belonging to brown were found at the scene. thirty three other prints that did not match either victim were found but not identified. the police appear to have ignored the two other possible suspects for the crime, one of whom was positively identified by two witnesses as jumping from the balcony of the apartment block around the time of the murders. according to press reports, when the witnesses reported what they had seen, the police officers investigating the case told them, we got our man and yall arent doing but one thing, helping a murderer get set free. the trail of blood, as it is so often referred to in the media or by prosecutors, was in fact not visible to the naked eye. it was only discovered by highly sensitive forensic tests that were incapable of identifying the source of the blood. the authorities have failed to explain how a highly intoxicated individual, who would have been covered in blood after such a brutal crime, was able to clean himself and dispose of his clothing without leaving any trace of blood in his apartment, including in his drains, in such a short space of time. successive appeal courts have refused to grant legal relief to david brown, while continually acknowledging the faults in his trial. the court of appeals for the 4th circuit found that the district attorneys denial of pre-trial access to the crime scene and to witnesses was an error of a constitutional nature, but determined the error was harmless. a judge for the district court concluded that the conduct of the da was inexcusable, based on personal animosity (towards the defence attorney), that the das gamesmanship was especially abhorrent when a persons life is at stake, but that it was also harmless (in that it would not have affected the outcome of the trial). amnesty international is appalled that the latest and probably last round of browns legal appeals have once again failed to adequately address the apparent numerous violations of the us constitution and international standards governing the death penalty. for the diminishing list of countries which still resort to the death penalty, international human rights standards require the very highest level of fairness in capital cases, given the irreversible nature of the penalty. amnesty international is not in a position to know whether brown is guilty or innocent of these murders. however, the case has many of the troubling aspects that have been present in the cases of the 82 people released from death row after being exonerated in the usa since 1973. the execution of david brown would clearly be in contravention of numerous international laws and standards, including article 4 of the united nations safeguards guaranteeing protection of the rights of those facing the death penalty, which states: capital punishment may be imposed only when the guilt of the person charged is based upon clear and convincing evidence leaving no room for an alternative explanation of the facts. browns only remaining option is to seek clemency from the governor. in north carolina, governor jim hunt has sole authority to grant clemency. hunt has never commuted a death sentence in his seven years in office (nor in the eight years he previously served). no other north carolina governor has held office for so long without granting clemency to a condemned prisoner. further recommended action: please send telegrams/faxes/express/airmail","","1998-12-15",2,TRUE
"100/99","amnesty international usa's u r g e n t    a c t i o n ua office _ pobox 1270 nederland co 80466 _ ph 303 258 1170 _ fax 303 258 7881 _ e-mail sharriso@aiusa.org _ http://www.amnesty-usa.org/urgact/ this is a limited action.  please only send one appeal to one of the officials listed below. we are only sending this to a few urgent action participants and hope you can write one appeal on this action. you are also asked to copy your appeal to one or more of the officials listed in the ""copies to:"" section below. thanks! extra 100/99             fear for safety / incommunicado detention 3 august 1999 indonesia       m yusuf haria, 50, fish trader ridwan, 25, fish trader amnesty international is concerned for the safety of the two men named above, who are at risk of torture or ill-treatment in incommunicado detention. m yusuf haria, from bintang hu, baktiya sub-district, north aceh, and ridwan, from alue le mirah, tanah jambu aye sub-district, north aceh, were arrested selling fish at the panton labu market in tanah jambu aye by the indonesian national army (tni) on 31 july 1999 during a security check in the area. amnesty international believes they were arrested on suspicion of having links with the armed separatist group, gerakan aceh merdeka (gam), free aceh movement. the two men were placed in a military truck and taken to the headquarters of the baktiya sub-district military command (koramil) in alue le puteh where they are believed to be still detained. background information since late 1998, serious human rights violations in aceh have increased in the course of tni counter-insurgency operations against the armed separatist group, gam. dozens of people have been arrested in recent months on suspicion of links to gam. suspects detained by the tni and by a riot control police unit, the pprm (petugas penindak rusuh massa), are often denied access to lawyers of their choice, and are at risk of torture or ill-treatment. many of those taken into custody have disappeared or been unlawfully killed by the security forces. large numbers of people have been unlawfully killed by the security forces in aceh since late 1998. in february 1999 at least seven people were unlawfully killed when the tni fired on a march in idi cut, east aceh. on 3 may, human rights monitors claimed that at least 41 people were killed in krueng geukueh, dewantara sub-district, aceh, when the tni fired on a demonstration. on 23 july, at least 45 people and possibly as many as 70 were unlawfully killed by the tni during counter-insurgency operations in beutong sub-district, west aceh. the tni claimed that those killed were members of gam, but eyewitnesses and human rights groups deny this and claim that those killed were unarmed and were executed by the tni. gam have also been accused of committing human rights abuses. on 30 july 1999, president habibie announced that he had established an independent investigation commission on violence in aceh (komisi independen pengusutan tindak kekerasan di aceh) which is expected to conduct investigations into human rights violations which have occurred since august 1998, and to submit a report within six months, including recommendations on legal measures, rehabilitation and reconciliation. the commission is apparently made up of 27 people, including members of indonesias national commission on human rights (komnas ham), non-governmental organizations (ngos), academics and government representatives. however, the commission has not been given a mandate to investigate human rights violations which occurred during tni counter-insurgency operations between 1989 and 1998. amnesty international believes that the commission can only be effective if it is given unrestricted access to all areas of aceh to conduct full and independent investigations into all human rights violations including those since 1989, if its findings are made public and if its report leads to the prosecution of those found responsible. recommended action: please send telegrams/telexes/faxes/express/airmail","","",2,TRUE
"101/00","amnesty international usa's u r g e n t    a c t i o n ua office _ pobox 1270 nederland co 80466 _ ph 303 258 1170 _ fax 303 258 7881 _ e-mail sharriso@aiusa.org _ http://www.amnesty-usa.org/urgact/ 26 may 2000 further information on ua 101/00 issued 28 april 2000 deaths in prison and new concerns: fear of torture/ill-treatment, medical care, prison conditions. jamaica     over 300 prisoners in st catherines district prison, spanish town three hundred inmates in st catherines district prison, spanish town, have reportedly been severely beaten and at least two inmates are alleged to have been shot. amnesty international is deeply concerned for their safety. the attacks apparently began on 21 may and lasted several days. soldiers and prison wardens reportedly beat the inmates with batons, rifles, baseball bats, irons and electric wire. inmates suffered fractures to hands, ribs, feet and skulls, and had teeth knocked out. injured prisoners were apparently denied medical attention until the head of medical services in the prison publicly condemned the incident. several inmates are now reported to be in hospital but it is not clear whether all the injured have received medical attention. soldiers and wardens have allegedly continued beating and harassing inmates since these attacks were publicized on 25 may. reports as to what led to the original mass beating vary. it is believed that a number of inmates barricaded themselves inside their cells and threw the contents of their slop buckets at soldiers and warders searching for contraband items. tension between prisoners & soldiers is reported to be high after complaints that food was inedible or even withheld. (on 11 march 2000, some 1,100 prisoners at st catherine's district prison and kingston general penitentiary suffered acute diarrhea caused by food served in both prisons.) inmates have also complained about being confined to their cells for extended periods. during the attacks warders reportedly targeted those inmates known to be supportive of the head of correctional services, colonel john prescod. colonel prescod has reportedly ordered an internal investigation into whether ""the force that was used was necessary and appropriate."" inmates are allegedly also being denied visits from friends and relatives and their mail is being withheld. background information amnesty international has repeatedly expressed its concerns regarding alleged excessive use of force, in some cases appearing to amount to extrajudicial executions; excessive force during cell searches; prison conditions and other ill-treatment in st. catherine's prison and other prisons in jamaica.  in december 1993, amnesty international called for an inquiry into deaths and ill-treatment of prisoners in st. catherine's prison. soldiers have been manning the prison since around 800 warders went on unofficial strike in january 2000 in protest against the reappointment of colonel john prescod as head of corrections. they were later indicted. their anger stemmed in part from his decision in 1997 to distribute condoms throughout prisons. this led to rioting, in which 17 inmates were killed, allegedly because they were thought to be gay. since then amnesty international has continued to receive reports of ill-treatment in both st. catherine's and the general penitentiary, as well as of the failure of guards to protect inmates from inmate-upon-inmate violence, in contravention of international standards. conditions in jamaica's prisons amount to cruel, inhuman and degrading treatment, and fall well below international minimum standards on prisons.  overcrowding is severe and conditions unsanitary. the jamaican constitution guarantees all citizens the right to life, liberty, security of the person; the right not to be arbitrarily deprived of life; the right not to be subjected to torture or to inhuman or degrading punishment or other treatment. further recommended action: please send telegrams/telexes/faxes/express/ airmail letters urging that: - immediate steps be taken to ensure that inmates are protected from further violence; and to ensure that inmates making complaints are protected from physical and other reprisals by soldiers or warders; - that all those injured receive immediate, medical attention; -  that a full, independent inquiry into the allegations take place, with the findings and recommendations made public within a reasonable period of time and with those responsible brought to justice; - that warders and soldiers alleged to have been involved in the beatings should be transferred from the prison where these took place while the case is being investigated; - that policies and practice regarding the use of force and conditions in prison be immediately reviewed, to ensure conformance with jamaica's obligations as a state party to the international covenant on civil and political rights, the american convention and to ensure adherence to relevant international standards, including the un standard minimum rules for the treatment of prisoners. appeals to: the rt. hon. p.j. patterson prime minister office of the prime minister jamaica house 1 devon road kingston 6 jamaica","","2000-04-28",2,TRUE
"101/01","amnesty international usa's u r g e n t a c t i o n uanetwork office pobox 1270 nederland co 80466 t. 303.258.1170 f. 303.258.7881 e-mail. uan@aiusa.org www.amnestyusa.org/urgent/ 3 may 2001 further information on ua 101/01 issued april 20, 2001 death penalty peoples republic of china (prc)         jin ruchao wang yushun hao fengqin hu xiaohong jin ruchao, wang yushun and hao fengqin were reportedly executed on 29 april. hu xiaohong, who had been sentenced to death for selling jin detonators and fuses worth 33 yuan (us $4) in june 2000, has had his death sentence suspended for two years. under chinese law, at the end of the two years the death sentence is commuted to life imprisonment unless the prisoner is found to have intentionally committed crimes during the period of suspension. however, the type of crime which might warrant execution is not known and amnesty international is concerned that prisoners may be executed for minor crimes committed in prison. jin ruchao was convicted of the 15 march bombing of four residential buildings, as well as the murder of his girlfriend on 9 march. the other two men were convicted of making explosives and selling them to him. a national strike hard campaign to crack down on crime was announced in beijing on 11 april, aimed at cracking down on evil forces and wiping out hooligans and focussing on violent crimes as well as crimes involving multiple theft or robbery. on that day alone, 89 people were executed. since then there have been almost daily reports of mass executions and the total of people executed since 11 april is reported to be about 500. amnesty international remains concerned that this renewed crackdown may influence the proceedings and outcome of criminal trials during the campaign. previous anti-crime crackdowns have resulted in a dramatic increase in the number of people sentenced to death and a large number of suspected miscarriages of justice. many thanks to all those who sent appeals. please send a final round of telegrams/telexes/faxes/express/airmail letters: - expressing your regret at the executions of jin ruchao, wang yushun and hao fengqin; - urging the authorities not to execute hu xiaohong; - expressing grave concern that the national strike hard campaign will result in summary trials and a potential rise in the number of miscarriages of justice in china; - urging the authorities to reduce their use of the death penalty, in accordance with international trends and united nations resolutions; - expressing opposition to the death penalty in all cases as the ultimate form of cruel and inhuman punishment, and as a violation of the right to life, as guaranteed in the universal declaration of human rights. appeals to: premier of the people's republic of china: zhu rongji zongli guowuyuan 9 xihuangchenggenbeijie beijingshi 100032 people's republic of china","","",2,TRUE
"101/10","urgent  action uanetwork office aiusa 600 pennsylvania ave se, washington dc 20003 t. 202.544.0200 f. 202.675.8566 e. uan@aiusa.org amnestyusa.org/urgent/ ","update","",2,TRUE
"101/11","urgent  action uanetwork office aiusa 600 pennsylvania ave se, washington dc 20003 t. 202.544.0200 f. 202.675.8566 e. uan@aiusa.org amnestyusa.org/urgent/ 26 april 2011 further information on ua 101/11 (4 april, 2011) - prisoner of conscience/incommunicado detention/risk of torture libya rana al-aqbani (f) hani al-aqbani (m) rana al-aqbani, detained incommunicado since 28 march, was released at","update","",2,TRUE
"101/98","amnesty international usa's u r g e n t    a c t i o n ua office _ pobox 1270 nederland co 80466 _ ph 303 258 1170 _ fax 303 258 7881 _ e-mail sharriso@aiusa.org _ http://www.amnesty-usa.org/urgact/ 15 august 2000 further information on extra 101/98 (16 december 1998) and follow-ups (17 december 1998; 18 december 1998; 23 december 1998; 18 february 1999; 3 march 1999; 19 may 1999; 18 august 1999) - fear of indiscriminate mass killings us/uk/iraq      civilians in iraq despite claims that they are taking steps to minimise civilian casualties, us and uk aircraft are reported to have hit civilian targets during recent air strikes, killing and injuring civilians. us and uk forces have carried out regular air strikes against targets in northern and southern iraq ever since the launch of operation desert fox in december 1998. scores of iraqi civilians have reportedly been killed and injured. according to iraqi government sources 302 civilians have now been killed. amnesty international has issued numerous worldwide appeals since operation desert fox, expressing concern that civilians were being killed by us and uk air strikes, and called on the us and uk governments to urge their forces to refrain from attacks expected to cause civilian casualties. both governments replied that their forces had been acting in self-defence and were making great efforts to avoid civilian casualties. however, they did not say what steps they were taking to avoid civilian deaths. a confidential un report is said to have found that over a period of five months in 1999, 41 per cent of the victims of us and uk air strikes were civilians. following reports of continuing civilian casualties during 2000, amnesty international wrote to us president bill clinton and uk prime minister tony blair on 15 may, asking what precautions their governments were taking to protect civilians, and asking for details of the targets of the air strikes which had reportedly resulted in civilian casualties. the uk government replied that: only precision guided weapons are used where there is any risk of civilian casualties or collateral damage to civilian infrastructure. the risk of civilian casualties is always a major consideration during the very careful target selection process. we also undertake very careful bomb damage analysis after every incident. for these reasons, we are confident that civilian casualties and damage to civilian infrastructure have been minimal. the us government did not reply. however, in the latest air strikes, on 11 august, two civilians were said to have been killed and 19 injured in the town of al-samawa in southern iraq, when missiles reportedly hit a warehouse containing building materials and food storage rooms. a reuters photographer who visited the area said that there were no military installations near the warehouse. six nearby houses were apparently damaged. the next day aircraft bombed a railway station in the town, and a number of civilians were reportedly injured. us military sources said that they attacked two iraqi anti-aircraft sites on 12 august, and added, coalition aircraft do not target civilian populations or infrastructure and seek to avoid injury to civilians and damage to civilian facilities. amnesty international cannot verify the number of civilian casualties. however, it is concerned that despite us and uk government assurances that they are doing their utmost to avoid civilian casualties, they appear to have taken no appropriate steps to avoid civilian casualties, and civilian deaths are still being reported. further recommended action: please send telegrams/telexes/faxes/express/ airmail letters: - expressing concern at the continuing reports of civilian casualties caused by us and uk air strikes; - expressing concern that despite repeated assurances, those carrying out the air strikes appear to be ignoring the risk to civilians; - asking them to urge their forces to refrain from attacks expected to cause incidental loss of civilian life which would be excessive in relation to the direct military advantage anticipated; - calling on them to compensate civilian victims or their families. appeals to: prime minister tony blair 10 downing street london sw1 2al united kingdom","","",7,TRUE
"102/01","amnesty international usa's u r g e n t a c t i o n uanetwork office pobox 1270 nederland co 80466 t. 303.258.1170 f. 303.258.7881 e-mail. uan@aiusa.org www.amnestyusa.org/urgent/","update","2001-04-19",5,TRUE
"102/02","amnesty international usa's u r g e n t a c t i o n uanetwork office pobox 1270 nederland co 80466 t. 303.258.1170 f. 303.258.7881 e-mail. uan@aiusa.org www.amnestyusa.org/urgent/ 24 april 2002 further information on ua 102/02 issued 4 april 2002 possible disappearance / incommunicado detention / fear of torture or ill-treatment algeria        abdelkrim khider (m) aged 34 fateh ladada (m) aged 30 fateh ladada and abdelkrim khider were reportedly tortured while they were held in secret detention. they have apparently been charged with having links with armed groups. their families have now been told where they are held, and allowed to visit them in prison, but amnesty international is concerned that they are still at risk of torture or ill-treatment. the two men were arrested within an hour of each other on 23 march, and the authorities refused to reveal where they were held. on 11 april their families heard that they were detained at serkadji prison in algiers. two days later the authorities gave the families permission to visit the men there. amnesty international fears that the real reason the men were arrested and are still in custody is that they passed reports of human rights abuses to observers outside the country. further recommended action: please send appeals, to arrive as quickly as","update","2002-04-04",3,TRUE
"102/12","further information on ua: 102/12 (5 april 2012) issue date: 24 may 2012","update","2012-05-24",2,TRUE
